image_path,caption
dataset/data/coco/val2014/COCO_val2014_000000203564.jpg,A bicycle replica with a clock as the front wheel.
dataset/data/coco/val2014/COCO_val2014_000000179765.jpg,A black Honda motorcycle parked in front of a garage.
dataset/data/coco/val2014/COCO_val2014_000000322141.jpg,A room with blue walls and a white sink and door.
dataset/data/coco/val2014/COCO_val2014_000000016977.jpg,A car that seems to be parked illegally behind a legally parked car
dataset/data/coco/val2014/COCO_val2014_000000106140.jpg,A large passenger airplane flying through the air.
dataset/data/coco/val2014/COCO_val2014_000000106140.jpg,There is a GOL plane taking off in a partly cloudy sky.
dataset/data/coco/val2014/COCO_val2014_000000322141.jpg,Blue and white color scheme in a small bathroom.
dataset/data/coco/val2014/COCO_val2014_000000322141.jpg,This is a blue and white bathroom with a wall sink and a lifesaver on the wall.
dataset/data/coco/val2014/COCO_val2014_000000322141.jpg,A blue boat themed bathroom with a life preserver on the wall
dataset/data/coco/val2014/COCO_val2014_000000203564.jpg,The bike has a clock as a tire.
dataset/data/coco/val2014/COCO_val2014_000000179765.jpg,A Honda motorcycle parked in a grass driveway
dataset/data/coco/val2014/COCO_val2014_000000016977.jpg,two cars parked on the sidewalk on the street
dataset/data/coco/val2014/COCO_val2014_000000106140.jpg,"An airplane that is, either, landing or just taking off."
dataset/data/coco/val2014/COCO_val2014_000000322141.jpg,A bathroom with walls that are painted baby blue.
dataset/data/coco/val2014/COCO_val2014_000000571635.jpg,"A bathroom with a toilet, sink, and shower."
dataset/data/coco/val2014/COCO_val2014_000000301837.jpg,"A long empty, minimal modern skylit home kitchen."
dataset/data/coco/val2014/COCO_val2014_000000190236.jpg,An office cubicle with four different types of computers.
dataset/data/coco/val2014/COCO_val2014_000000315702.jpg,A bathroom sink with toiletries on the counter.
dataset/data/coco/val2014/COCO_val2014_000000331352.jpg,A small closed toilet in a cramped space.
dataset/data/coco/val2014/COCO_val2014_000000517069.jpg,Two women waiting at a bench next to a street.
dataset/data/coco/val2014/COCO_val2014_000000315702.jpg,A bathroom sink and various personal hygiene items.
dataset/data/coco/val2014/COCO_val2014_000000189634.jpg,This is an open box containing four cucumbers.
dataset/data/coco/val2014/COCO_val2014_000000472598.jpg,An old-fashioned green station wagon is parked on a shady driveway.
dataset/data/coco/val2014/COCO_val2014_000000162113.jpg,A gas stove next to a stainless steel kitchen sink and countertop.
dataset/data/coco/val2014/COCO_val2014_000000203564.jpg,A black metal bicycle with a clock inside the front wheel.
dataset/data/coco/val2014/COCO_val2014_000000179765.jpg,A black Honda motorcycle with a dark burgundy seat.
dataset/data/coco/val2014/COCO_val2014_000000331352.jpg,A tan toilet and sink combination in a small room.
dataset/data/coco/val2014/COCO_val2014_000000126657.jpg,Several motorcycles riding down the road in formation.
dataset/data/coco/val2014/COCO_val2014_000000285421.jpg,A black cat is inside a white toilet.
dataset/data/coco/val2014/COCO_val2014_000000016977.jpg,City street with parked cars and a bench.
dataset/data/coco/val2014/COCO_val2014_000000190236.jpg,The home office space seems to be very cluttered.
